,size (Mb),write time (s),read time (s)
0,0.1155853271484375,0.04802560806274414,0.006009817123413086
1,0.460052490234375,0.1289963722229004,0.01599717140197754
2,0.9185791015625,0.23299908638000488,0.01999831199645996
3,1.529693603515625,0.37596678733825684,0.0319976806640625
4,2.29339599609375,0.4960002899169922,0.04207348823547363
5,3.209686279296875,0.6640017032623291,0.05506014823913574
6,4.278564453125,0.8690016269683838,0.07006168365478516
7,5.500030517578125,1.2000017166137695,0.08804035186767578
8,6.87408447265625,1.5160322189331055,0.09796476364135742
9,8.400726318359375,1.8490235805511475,0.11606025695800781
10,10.0799560546875,2.1391444206237793,0.1320018768310547
11,11.911773681640625,2.6319620609283447,0.15099620819091797
12,13.89617919921875,3.055778741836548,0.16202449798583984
13,16.033172607421875,3.192000150680542,0.1829969882965088
14,18.32275390625,3.5639986991882324,0.196030855178833
15,20.764923095703125,3.892996072769165,0.22202563285827637
16,23.35968017578125,4.29778265953064,0.259000301361084
17,26.107025146484375,4.697184801101685,0.29799699783325195
18,29.0069580078125,5.112997055053711,0.3390035629272461
19,32.059478759765625,5.47603964805603,0.37199878692626953
20,35.26458740234375,5.911481618881226,0.4000358581542969
21,38.622283935546875,6.3890368938446045,0.44506311416625977
22,42.132568359375,6.852102756500244,0.48103833198547363
23,45.795440673828125,7.216254472732544,0.5230002403259277
24,49.61090087890625,7.693029403686523,0.5760455131530762
25,53.578948974609375,8.260036945343018,0.6190366744995117
26,57.6995849609375,8.80001163482666,0.6660656929016113
27,61.972808837890625,9.23799204826355,0.7130258083343506
28,66.39862060546875,9.768032550811768,0.7630000114440918
29,70.97702026367188,10.38903546333313,0.8309950828552246
30,75.7080078125,10.589697122573853,0.8560028076171875
31,80.59158325195312,11.262064218521118,0.9120371341705322
32,85.62774658203125,11.742034435272217,0.9450252056121826
33,90.81649780273438,12.140994310379028,1.007002353668213
34,96.1578369140625,12.682996273040771,1.0700223445892334
35,101.65176391601562,13.196998119354248,1.1430010795593262
36,107.29827880859375,13.90503478050232,1.2079968452453613
37,113.09738159179688,14.497713565826416,1.2720012664794922
38,119.049072265625,15.347054958343506,1.3610384464263916
39,125.15335083007812,16.007996797561646,1.458000898361206
40,131.41021728515625,16.374000072479248,1.4840266704559326
41,137.81967163085938,17.31799626350403,1.5790119171142578
42,144.3817138671875,18.164802074432373,1.6269731521606445
43,151.09634399414062,19.03945803642273,1.747004508972168
44,157.96356201171875,19.954156160354614,1.7750632762908936
45,164.98336791992188,21.04402995109558,1.8860228061676025
46,172.15576171875,21.693830966949463,1.9729704856872559
47,179.48074340820312,23.044036865234375,2.0750620365142822
48,186.95831298828125,26.25253653526306,2.120000123977661
49,194.58847045898438,24.631049633026123,3.099036931991577
